permno,date,month,ret,shrout,altprc,exchcd,siccd,mktcap,mktcap_lag,exchange,industry,ret_excess,gvkey,month:1,dp,dy,ep,de,svar,bm,ntis,tbl,lty,ltr,tms,dfy,infl,month:2,mkt_excess,smb,hml,rf
10028,1994-11-30T00:00:00,1994-11-01T00:00:00,0.0555555559694767,5866000.0,2.375,2,5094,13.93175,13.1985,AMEX,Wholesale,0.0518555559694767,012096,1994-11-01T00:00:00,-3.54574128759347,0.00631589115199116,-2.73268495647591,-0.813056331117556,0.0008363991,0.2989926143,0.022917147,0.0529,0.0808,0.0066,0.0279,0.0064,0.0013377926,1994-11-01T00:00:00,-0.0404,0.0025,-0.007,0.0037
10028,1994-12-30T00:00:00,1994-12-01T00:00:00,-0.0526315793395042,5834000.0,-2.25,2,5094,13.1265,13.93175,AMEX,Wholesale,-0.0570315793395042,012096,1994-12-01T00:00:00,-3.55169675665691,0.00626865791789744,-2.70863826345376,-0.843058493203146,0.000704923,0.2915683,0.0165942926,0.056,0.0799,0.0161,0.0239,0.0064,0.0,1994-12-01T00:00:00,0.0086,0.0022,-0.0013,0.0044
10028,1995-01-31T00:00:00,1995-01-01T00:00:00,-0.222222223877907,5834000.0,-1.75,2,5094,10.2095,13.1265,AMEX,Wholesale,-0.226422223877907,012096,1995-01-01T00:00:00,-3.57568439693221,0.0,-2.71160653650499,-0.864077860427221,0.0002893766,0.2908537344,0.0150933699,0.0571,0.078,0.0273,0.0209,0.00620000000000001,0.004008016,1995-01-01T00:00:00,0.018,-0.035,0.0257,0.0042
10028,1995-02-28T00:00:00,1995-02-01T00:00:00,0.0714285746216774,5834000.0,-1.875,2,5094,10.93875,10.2095,AMEX,Wholesale,0.0674285746216774,012096,1995-02-01T00:00:00,-3.6111231081963,0.0,-2.7264586141607,-0.884664494035609,0.0004724141,0.2787300356,0.0145320951,0.0577,0.0758,0.0287,0.0181,0.00589999999999999,0.003992016,1995-02-01T00:00:00,0.0363,-0.0066,0.0108,0.004
10028,1995-03-31T00:00:00,1995-03-01T00:00:00,0.0666666701436043,5854000.0,2.0,2,5094,11.708,10.93875,AMEX,Wholesale,0.0620666701436043,012096,1995-03-01T00:00:00,-3.63808557542042,0.0,-2.73324972252103,-0.904835852899388,0.0004843058,0.3138765419,0.0143885983,0.0573,0.0755,0.0091,0.0182,0.0058,0.0033134526,1995-03-01T00:00:00,0.0219,-0.0016,-0.0215,0.0046
10028,1995-04-28T00:00:00,1995-04-01T00:00:00,-0.1875,5854000.0,1.625,2,5094,9.51275,11.708,AMEX,Wholesale,-0.1919,012096,1995-04-01T00:00:00,-3.6608370288137,0.00482509069455528,-2.74175581295189,-0.919081215861807,0.0002569204,0.3019947008,0.0130124069,0.0565,0.0745,0.0169,0.018,0.0057,0.0033025099,1995-04-01T00:00:00,0.0211,-0.0049,0.0171,0.0044
10028,1995-05-31T00:00:00,1995-05-01T00:00:00,0.15384615957737,5883000.0,-1.875,2,5094,11.030625,9.51275,AMEX,Wholesale,0.14844615957737,012096,1995-05-01T00:00:00,-3.69171060464782,0.00479440065035064,-2.75871318088865,-0.932997423759168,0.0010114421,0.2922642542,0.010743778,0.0567,0.0677,0.079,0.011,0.0055,0.0019749835,1995-05-01T00:00:00,0.029,-0.0255,0.0229,0.0054
10028,1995-06-30T00:00:00,1995-06-01T00:00:00,-0.16666667163372,5883000.0,-1.5625,2,5094,9.1921875,11.030625,AMEX,Wholesale,-0.17136667163372,012096,1995-06-01T00:00:00,-3.70798695821797,0.00477900850666124,-2.7613986964743,-0.946588261743675,0.0006967643,0.2864296179,0.0082749191,0.0547,0.067,0.0139,0.0123,0.00600000000000001,0.0019710907,1995-06-01T00:00:00,0.0272,0.0318,-0.0254,0.0047
10028,1995-07-31T00:00:00,1995-07-01T00:00:00,-0.119999997317791,5883000.0,-1.375,2,5094,8.089125,9.1921875,AMEX,Wholesale,-0.124499997317791,012096,1995-07-01T00:00:00,-3.73394635151204,0.0053222386421159,-2.78544545384858,-0.948500897663468,0.0007732277,0.2771603672,0.0070611198,0.0542,0.0691,-0.0168,0.0149,0.0063,0.0,1995-07-01T00:00:00,0.0372,0.0207,-0.0162,0.0045
10028,1995-08-31T00:00:00,1995-08-01T00:00:00,0.0,5883000.0,1.375,2,5094,8.089125,8.089125,AMEX,Wholesale,-0.0047,012096,1995-08-01T00:00:00,-3.72832458199569,0.0053014677181471,-2.77794224514397,-0.950382336851721,0.0002067297,0.2830461347,0.0091214683,0.054,0.0674,0.0236,0.0134,0.0062,0.0026229508,1995-08-01T00:00:00,0.0055,0.0135,0.0279,0.0047
