Date,Mkt-RF,SMB,HML,RMW,CMA,MMOM,PEAD,FIN,QMJ,BAB,MGMT,PERF,MKTRF,SMB*,IA,ROE,MKT,ME,LIQ,IFCR,CON
198203,-0.0187,0,0.0378,-0.0144,0.0237,0.0292,-0.003536663,0.041587962,-0.00617884,0.016439102,0.033191407,0.001835466,-0.0187,0.005024222,0.018303,-0.016613,-0.021176,0.006856,0.0421,-0.0335,-0.018213185
198204,0.0327,0.0115,-0.0278,0.0151,-0.0015,-0.0041,0.015700324,-0.023206399,0.013876087,0.021441586,-0.017546191,0.024517741,0.0327,0.026682722,0.012235,0.01893,0.031977,0.00469,-0.0235,0.0333,-0.015477043
198205,-0.0399,0.0056,0.0181,0.0091,-0.0009,0.0254,0.004863205,0.02112665,0.017277342,0.024799761,0.022500523,0.021541221,-0.0399,9.83E-05,-0.005415,-0.004843,-0.037804,-0.003986,0.0293,-0.097,0.011480896
198206,-0.0309,-0.0051,0.0154,0.0003,0.0272,0.05,0.025561236,0.044241589,0.007066616,-0.004936251,0.035585527,0.019433474,-0.0309,0.011597145,0.028005,0.001385,-0.034622,0.011354,0.0498,-0.0278,-0.011526774
198207,-0.0319,0.0095,0.0015,0.0103,0.0154,0.0447,0.030031312,0.008071984,0.01544879,0.01489342,0.018261873,0.050113351,-0.0319,0.032035462,0.020984,0.028813,-0.030736,0.017364,-0.0153,-0.0289,-0.052087039
198208,0.1114,-0.0429,0.0116,-0.0196,0.0018,-0.0352,-0.010044963,-0.041197582,-0.01612248,-0.022653224,-0.019366675,-0.009434054,0.1114,-0.045348661,-0.00524,-0.012378,0.110671,-0.034109,-0.0052,0.1332,-0.007470591
198209,0.0129,0.0257,0.0034,0.0212,-0.0004,0.0416,0.019497908,0.039649727,0.025684228,0.075464127,0.031442003,0.008359882,0.0129,0.037283823,0.010037,0.036253,0.011643,0.03158,0.0436,0.067,0.01712574
198210,0.113,0.0192,-0.0368,0.003,-0.0037,0.0003,1.89E-05,-0.062964009,-0.016060745,0.027813514,-0.037917083,-0.026160125,0.113,0.029657483,-0.010627,-0.007911,0.113161,0.008638,-0.0401,0.2651,0.039707151
198211,0.0467,0.0453,-0.0196,-0.0105,0.0032,0.0589,0.053521482,-0.032393366,0.018117295,0.067288844,-0.010951124,0.049101286,0.0467,0.050074487,0.01401,0.032276,0.044734,0.045172,0.0086,0.0801,0.004984459
198212,0.0055,-0.0001,0.0001,-0.0007,0.0103,0.0004,-0.029525261,0.023340308,0.008204289,0.030386581,0.008456398,0.030918125,0.0055,-0.002963541,0.004203,-0.007457,0.008227,-0.008142,-0.0306,-0.0683,0.015496775
198301,0.036,0.0328,-0.0086,-0.015,-0.0046,-0.0171,0.014472354,-0.055682335,-0.022271501,0.026829321,-0.019213675,0.003064869,0.036,0.014310083,-0.007363,-0.024907,0.034986,0.021224,-0.0526,0.0393,-0.006040431
198302,0.0259,0.029,0.0067,-0.0057,0.0102,0.0383,0.014991486,0.029556109,0.011509225,0.083257912,0.018483458,0.033433724,0.0259,0.028726283,0.015546,0.031079,0.024033,0.038331,-0.0307,0.0802,0.00476943
198303,0.0282,0.0142,0.0207,-0.0007,0.0281,0.0093,0.005309047,0.040760562,0.010554077,0.065308861,0.043632802,-0.023921764,0.0282,0.014371816,0.028076,0.012412,0.028347,0.016463,0.0423,0.0873,-0.003617542
198304,0.0667,0.0049,0.006,-0.0016,0.016,0.0181,0.007228697,0.021264652,-0.006477203,0.046668469,0.021620374,-0.008704373,0.0667,-0.015091629,0.021438,0.005924,0.06727,-0.00349,0.0379,0.1258,-0.007672759
198305,0.0052,0.0622,-0.014,-0.0185,-0.0153,-0.0157,-0.004083865,-0.029369218,-0.021242031,0.031268763,-0.031935589,-0.039697403,0.0052,0.050085958,-0.015267,-0.036447,0.005642,0.060475,0.0194,-0.0314,0.003978921
198306,0.0307,0.0115,-0.0387,0.0252,-0.0089,0.0177,0.017497508,0.005978713,0.02133598,0.028841761,-0.001390909,0.049928064,0.0307,0.00697016,-0.01105,0.016774,0.031177,0.021432,-0.0015,0.0083,0.004158857
198307,-0.0407,0.0098,0.0562,-0.0003,0.0284,-0.0316,0.015150269,0.03552742,0.000529384,0.037989099,0.042512321,-0.022403643,-0.0407,0.022612499,0.027744,0.01194,-0.038484,0.006786,0.0469,-0.0786,-0.033335514
198308,-0.005,-0.0434,0.0555,0.0045,0.0195,-0.0583,-0.013031048,0.038998627,0.008325551,-0.008786874,0.026049967,-0.025786534,-0.005,-0.045298245,0.011851,-0.004413,-0.004879,-0.046819,0.044,-0.006,0.013810208
198309,0.0091,0.0025,0.0109,0.0121,0.0059,-0.001,0.022126438,0.017066205,0.017475081,0.034663741,0.011290388,0.01034472,0.0092,0.016688868,0.013643,0.032812,0.008452,0.00427,0.0094,-0.0536,0.042335607
198310,-0.0344,-0.0382,0.0506,-0.0081,0.0297,-0.0457,0.018299452,0.042485069,0.014586212,0.034807469,0.045608797,-0.010022674,-0.0344,-0.035464802,0.026784,0.016645,-0.035507,-0.0383,0.0567,-0.0761,0.028838434
198311,0.0216,0.0188,-0.0062,-0.0048,0.0064,-0.0008,-0.000376364,-0.008749541,-0.001711077,-0.001266602,-0.004174964,-0.018190681,0.0216,0.016565898,0.011121,-0.002348,0.022357,0.020431,-0.0714,0.0926,0.002521993
198312,-0.0178,-0.0047,0.0167,0.0159,0.0121,0.0076,-0.000599677,0.041069327,0.019064447,0.013573057,0.045555401,-0.004624308,-0.0178,-0.00221657,0.013519,-0.015788,-0.017503,-0.011859,0.0486,-0.0071,0.011463341
198401,-0.0192,-0.0007,0.0763,-0.0093,0.03,-0.0251,-0.01549149,0.075721082,-0.021953359,0.032957904,0.066066582,-0.0544225,-0.0192,-0.013679471,0.023295,-0.037155,-0.021106,-0.009696,0.0692,0.0122,-0.001178636
198402,-0.0482,-0.0162,0.0336,0.0082,0.0157,0.0019,0.031185316,0.070777949,0.00900705,-0.019218496,0.031257116,0.002797613,-0.0482,-0.003739273,0.008932,-0.007526,-0.046401,-0.017824,0.0089,-0.0594,0.009321824
198403,0.0063,-0.0028,0.0048,-0.0093,0.0109,0.0109,-0.014398142,0.027657244,0.00158202,-0.002238426,0.024339793,-0.007395207,0.0063,-0.002310532,0.007314,-0.006049,0.006109,-0.00187,0.0048,0.0104,-0.021123665
